model_id,item_type,mode,planned,valid,missing,primary_mean_pct,strict_mean_pct,full_denominator_lower_pct,full_denominator_upper_pct
Qwen/Qwen3.8-27B,criteria_qa,no_rag,113,112,1,44.145987940630796,2.6785714285714284,43.7553154809792,44.640271233191584
Qwen/Qwen3.8-27B,criteria_qa,perfect_retrieval,113,108,5,98.01697530864197,91.66666666666666,93.67994100294986,98.1047197640118
Qwen/Qwen3.8-27B,criteria_qa,with_rag,113,113,0,94.10565835344596,88.49557522123894,94.10565835344596,94.10565835344596
Qwen/Qwen3.8-27B,free_text_qa,no_rag,400,400,0,28.249999999999996,28.249999999999996,28.25,28.25
Qwen/Qwen3.8-27B,free_text_qa,perfect_retrieval,400,396,4,99.4949494949495,99.4949494949495,98.5,99.5
Qwen/Qwen3.8-27B,free_text_qa,with_rag,400,400,0,88.5,88.5,88.5,88.5
Qwen/Qwen3.8-27B,mcq,no_rag,702,702,0,75.07122507122507,75.07122507122507,75.07122507122507,75.07122507122507
Qwen/Qwen3.8-27B,mcq,perfect_retrieval,702,702,0,97.57834757834758,97.57834757834758,97.57834757834758,97.57834757834758
Qwen/Qwen3.8-27B,mcq,with_rag,702,702,0,95.2991452991453,95.2991452991453,95.2991452991453,95.2991452991453
XHToken/Spark-X2.5-4B,criteria_qa,no_rag,113,112,1,19.72086940836941,0.0,19.54634844015375,20.431304192366138
XHToken/Spark-X2.5-4B,criteria_qa,perfect_retrieval,113,110,3,95.34848484848484,80.9090909090909,92.81710914454277,95.47197640117993
XHToken/Spark-X2.5-4B,criteria_qa,with_rag,113,113,0,90.764056494145,78.76106194690266,90.76405649414498,90.76405649414498
XHToken/Spark-X2.5-4B,free_text_qa,no_rag,400,399,1,13.032581453634084,13.032581453634084,13.0,13.25
XHToken/Spark-X2.5-4B,free_text_qa,perfect_retrieval,400,396,4,97.22222222222221,97.22222222222221,96.25,97.25
XHToken/Spark-X2.5-4B,free_text_qa,with_rag,400,400,0,85.25,85.25,85.25,85.25
XHToken/Spark-X2.5-4B,mcq,no_rag,702,702,0,57.407407407407405,57.407407407407405,57.407407407407405,57.407407407407405
XHToken/Spark-X2.5-4B,mcq,perfect_retrieval,702,702,0,94.72934472934473,94.72934472934473,94.72934472934473,94.72934472934473
XHToken/Spark-X2.5-4B,mcq,with_rag,702,702,0,75.07122507122507,75.07122507122507,75.07122507122507,75.07122507122507
google/gemma-3-12b-it,criteria_qa,no_rag,113,112,1,36.05992965367966,2.6785714285714284,35.740815231965676,36.62577098417807
google/gemma-3-12b-it,criteria_qa,perfect_retrieval,113,108,5,98.14043209876544,89.81481481481481,93.79793510324485,98.2227138643068
google/gemma-3-12b-it,criteria_qa,with_rag,113,112,1,90.8387445887446,77.67857142857143,90.034861893269,90.91981764548137
google/gemma-3-12b-it,free_text_qa,no_rag,400,400,0,24.0,24.0,24.0,24.0
google/gemma-3-12b-it,free_text_qa,perfect_retrieval,400,391,9,97.9539641943734,97.9539641943734,95.75,98.0
google/gemma-3-12b-it,free_text_qa,with_rag,400,400,0,84.75,84.75,84.75,84.75
google/gemma-3-12b-it,mcq,no_rag,702,702,0,60.3988603988604,60.3988603988604,60.3988603988604,60.3988603988604
google/gemma-3-12b-it,mcq,perfect_retrieval,702,702,0,92.73504273504274,92.73504273504274,92.73504273504274,92.73504273504274
google/gemma-3-12b-it,mcq,with_rag,702,702,0,84.61538461538461,84.61538461538461,84.61538461538461,84.61538461538461
google/gemma-3-27b-it,criteria_qa,no_rag,113,112,1,42.66623505462792,1.7857142857142856,42.28865775325953,43.17361350547192
google/gemma-3-27b-it,criteria_qa,perfect_retrieval,113,107,6,97.14434060228454,90.65420560747664,91.98623402163226,97.29596853490659
google/gemma-3-27b-it,criteria_qa,with_rag,113,112,1,93.46929112554113,84.82142857142857,92.64212925717351,93.5270850093859
google/gemma-3-27b-it,free_text_qa,no_rag,400,400,0,27.250000000000004,27.250000000000004,27.25,27.25
google/gemma-3-27b-it,free_text_qa,perfect_retrieval,400,398,2,98.49246231155779,98.49246231155779,98.0,98.5
google/gemma-3-27b-it,free_text_qa,with_rag,400,400,0,87.0,87.0,87.0,87.0
google/gemma-3-27b-it,mcq,no_rag,702,702,0,65.66951566951566,65.66951566951566,65.66951566951568,65.66951566951568
google/gemma-3-27b-it,mcq,perfect_retrieval,702,702,0,98.14814814814815,98.14814814814815,98.14814814814815,98.14814814814815
google/gemma-3-27b-it,mcq,with_rag,702,702,0,88.74643874643876,88.74643874643876,88.74643874643874,88.74643874643874
google/gemma-4-12B-it,criteria_qa,no_rag,113,112,1,34.57756776953205,0.0,34.27157159458044,35.156527346792835
