book,item_type,question_type,strategy,method,questions,estimated_compute_ms,evidence_recall_at5_pct,mean_context_tokens
Total,criteria_qa,Criteria,dense_bm25_interleave,Dense + BM25 interleave,113,24.953601833437745,77.34513274336283,2004.9115044247787
Total,criteria_qa,Criteria,scope_hybrid_rrf_rerank_jiwar,SCOPE hybrid + reranking + Jiwar,113,145.25025457564763,88.05309734513274,1754.58407079646
Total,criteria_qa,Criteria,scope_hybrid_rrf_rerank_mq_jiwar,Same SCOPE configuration + multi-query,113,993.5137747121379,87.61061946902655,1772.1946902654868
AASM,criteria_qa,Criteria,dense_raw,Dense retrieval,50,8.552169588358078,78.0,2173.26
AASM,criteria_qa,Criteria,bm25_only,BM25,50,21.739766765385816,65.99999999999999,2015.36
AASM,criteria_qa,Criteria,dense_bm25_interleave,Dense + BM25 interleave,50,23.909102466852342,84.0,2102.58
AASM,criteria_qa,Criteria,scope_hybrid_rrf_rerank_jiwar,SCOPE hybrid + reranking + Jiwar,50,135.77217337876212,87.0,1784.48
AASM,criteria_qa,Criteria,scope_hybrid_rrf_rerank_mq_jiwar,Same SCOPE configuration + multi-query,50,817.7954434845964,87.0,1787.04
ICSD-3-TR,criteria_qa,Criteria,dense_raw,Dense retrieval,63,8.401750239182016,81.32275132275132,2098.5079365079364
ICSD-3-TR,criteria_qa,Criteria,bm25_only,BM25,63,23.88005538119205,26.71957671957672,1884.984126984127
ICSD-3-TR,criteria_qa,Criteria,dense_bm25_interleave,Dense + BM25 interleave,63,25.78256958469599,72.06349206349206,1927.3968253968253
ICSD-3-TR,criteria_qa,Criteria,scope_hybrid_rrf_rerank_jiwar,SCOPE hybrid + reranking + Jiwar,63,152.77254123984247,88.88888888888889,1730.857142857143
ICSD-3-TR,criteria_qa,Criteria,scope_hybrid_rrf_rerank_mq_jiwar,Same SCOPE configuration + multi-query,63,1132.9727677498688,88.09523809523809,1760.4126984126983
