strategy,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,context_tokens,estimated_component_cost_seconds,items
scope_hybrid_rrf_rerank_mq_jiwar,0.6115226337448559,0.6493827160493827,0.7829903978052126,0.8271604938271605,0.8285322359396433,0.8716049382716049,0.8285322359396433,0.8732510288065843,0.70639231824417,0.6115226337448559,0.6493827160493827,0.7829903978052126,0.8271604938271605,0.8285322359396433,0.8716049382716049,0.8285322359396433,0.8732510288065843,0.70639231824417,0.7985459533607682,1676.1407407407407,1.0839833112528743,1215
scope_hybrid_rrf_rerank_jiwar,0.594238683127572,0.6345679012345679,0.7776406035665295,0.8181069958847736,0.8256515775034293,0.8625514403292182,0.8272976680384088,0.8625514403292182,0.6974485596707819,0.594238683127572,0.6345679012345679,0.7776406035665295,0.8181069958847736,0.8256515775034293,0.8625514403292182,0.8272976680384088,0.8625514403292182,0.6974485596707819,0.7973113854595336,1652.630452674897,0.1545454505097256,1215
dense_raw,0.5099314128943759,0.5991769547325103,0.7339368998628258,0.8131687242798354,0.8130864197530864,0.8864197530864197,0.8628806584362141,0.9234567901234568,0.6476601998824221,0.5099314128943759,0.5991769547325103,0.7339368998628258,0.8131687242798354,0.8130864197530864,0.8864197530864197,0.8628806584362141,0.9234567901234568,0.6476601998824221,0.8130864197530864,2052.5489711934156,0.008790949896903625,1215
hybrid_rrf_jiwar,0.6035469331765628,0.6411522633744856,0.7792670977856163,0.8246913580246914,0.8097197726827357,0.8592592592592593,0.8138349990201842,0.8633744855967078,0.6991769547325103,0.6035469331765628,0.6411522633744856,0.7792670977856163,0.8246913580246914,0.8097197726827357,0.8592592592592593,0.8138349990201842,0.8633744855967078,0.6991769547325103,0.7927297668038409,1655.9687242798354,0.027163966675421276,1215
dense_bm25_interleave,0.45094650205761316,0.5308641975308642,0.7251577503429356,0.7950617283950617,0.8078737997256517,0.8625514403292182,0.8613717421124828,0.9135802469135802,0.6136860670194003,0.45094650205761316,0.5308641975308642,0.7251577503429356,0.7950617283950617,0.8078737997256517,0.8625514403292182,0.8613717421124828,0.9135802469135802,0.6136860670194003,0.8078737997256517,1957.2551440329219,0.028209205310628923,1215
scope_hybrid_rrf,0.5482853223593964,0.6395061728395062,0.7397805212620028,0.8008230452674897,0.8030178326474623,0.8633744855967078,0.8399725651577504,0.8979423868312757,0.6648667450519302,0.5482853223593964,0.6395061728395062,0.7397805212620028,0.8008230452674897,0.8030178326474623,0.8633744855967078,0.8399725651577504,0.8979423868312757,0.6648667450519302,0.8030178326474623,1930.450205761317,0.02919393608986442,1215
scope_dense_only,0.5162688614540466,0.6098765432098765,0.7270781893004115,0.7983539094650206,0.8023868312757202,0.8699588477366255,0.8565706447187929,0.9061728395061729,0.6468861454046639,0.5162688614540466,0.6098765432098765,0.7270781893004115,0.7983539094650206,0.8023868312757202,0.8699588477366255,0.8565706447187929,0.9061728395061729,0.6468861454046639,0.8023868312757202,2053.5325102880656,0.008555454602923108,1215
scope_hybrid_rrf_rerank_mq,0.5488888888888889,0.6386831275720165,0.7295473251028807,0.8074074074074075,0.7985459533607682,0.8674897119341564,0.8576680384087791,0.9185185185185185,0.6657867920830883,0.5488888888888889,0.6386831275720165,0.7295473251028807,0.8074074074074075,0.7985459533607682,0.8674897119341564,0.8576680384087791,0.9185185185185185,0.6657867920830883,0.7985459533607682,2005.2781893004114,1.0851711578455745,1215
scope_hybrid_rrf_rerank,0.534074074074074,0.6246913580246913,0.7209053497942387,0.7991769547325103,0.7973113854595336,0.8658436213991769,0.8580795610425239,0.9119341563786009,0.6569243582206545,0.534074074074074,0.6246913580246913,0.7209053497942387,0.7991769547325103,0.7973113854595336,0.8658436213991769,0.8580795610425239,0.9119341563786009,0.6569243582206545,0.7973113854595336,1979.3102880658437,0.1557089524820965,1215
dense_only_jiwar,0.5119341563786008,0.5440329218106996,0.7425240054869684,0.7851851851851852,0.7957475994513031,0.8395061728395061,0.8002743484224966,0.8436213991769548,0.636016068979032,0.5119341563786008,0.5440329218106996,0.7425240054869684,0.7851851851851852,0.7957475994513031,0.8395061728395061,0.8002743484224966,0.8436213991769548,0.636016068979032,0.7709739368998628,1724.7390946502057,0.007458078409792405,1215
hybrid_rrf_no_terms,0.5482853223593964,0.6230452674897119,0.7396433470507544,0.7934156378600823,0.79519890260631,0.854320987654321,0.8472702331961591,0.8995884773662551,0.6658622378992749,0.5482853223593964,0.6230452674897119,0.7396433470507544,0.7934156378600823,0.79519890260631,0.854320987654321,0.8472702331961591,0.8995884773662551,0.6658622378992749,0.79519890260631,1938.798353909465,0.02753887658122237,1215
hybrid_rrf,0.543758573388203,0.6205761316872428,0.735116598079561,0.7909465020576132,0.7927297668038409,0.8526748971193415,0.8410973936899863,0.8962962962962963,0.6604859886341368,0.543758573388203,0.6205761316872428,0.735116598079561,0.7909465020576132,0.7927297668038409,0.8526748971193415,0.8410973936899863,0.8962962962962963,0.6604859886341368,0.7927297668038409,1938.0057613168724,0.02832122737077866,1215
scope_hybrid_rrf_rerank_mq_pageagg_jiwar,0.5946502057613169,0.6378600823045267,0.7519890260631001,0.8041152263374486,0.7762688614540466,0.8164609053497942,0.7770919067215363,0.8164609053497942,0.6793004115226338,0.5946502057613169,0.6378600823045267,0.7519890260631001,0.8041152263374486,0.7762688614540466,0.8164609053497942,0.7770919067215363,0.8164609053497942,0.6793004115226338,0.7477091906721537,1668.6962962962964,1.0839894462709645,1215
scope_hybrid_rrf_rerank_pageagg_jiwar,0.5882030178326474,0.6312757201646091,0.7528120713305898,0.7950617283950617,0.7742112482853223,0.8041152263374486,0.7750342935528121,0.8049382716049382,0.6757613168724279,0.5882030178326474,0.6312757201646091,0.7528120713305898,0.7950617283950617,0.7742112482853223,0.8041152263374486,0.7750342935528121,0.8049382716049382,0.6757613168724279,0.7435939643347051,1633.8995884773663,0.1544766909594426,1215
dense_bm25_concat,0.45094650205761316,0.5308641975308642,0.6774211248285322,0.757201646090535,0.7709739368998628,0.8411522633744856,0.8272153635116598,0.8979423868312757,0.5907466196355086,0.45094650205761316,0.5308641975308642,0.6774211248285322,0.757201646090535,0.7709739368998628,0.8411522633744856,0.8272153635116598,0.8979423868312757,0.5907466196355086,0.7709739368998628,2024.9341563786008,0.02812846167315641,1215
