strategy,label,doc_hit_at5_pct,page_hit_at5_pct,evidence_recall_at5_pct,estimated_cost_ms,questions
scope_hybrid_rrf_rerank_mq_jiwar,SCOPE + Hybrid RRF + Rerank + MQ + Jiwar,99.91769547325103,87.1604938271605,82.85322359396433,1083.9833112528745,1215
scope_hybrid_rrf_rerank_jiwar,SCOPE + Hybrid RRF + Rerank + Jiwar,99.91769547325103,86.25514403292182,82.56515775034293,154.54545050972558,1215
dense_raw,Dense (original question),100.0,88.64197530864197,81.30864197530863,8.7909498969036,1215
hybrid_rrf_jiwar,Hybrid RRF + Jiwar,99.83539094650206,85.92592592592592,80.97197726827356,27.1639666754212,1215
dense_bm25_interleave,Dense + BM25 (interleave),99.91769547325103,86.25514403292182,80.78737997256516,28.2092053106289,1215
scope_hybrid_rrf,SCOPE + Hybrid RRF,99.91769547325103,86.33744855967078,80.30178326474623,29.1939360898644,1215
scope_dense_only,SCOPE + Dense,99.91769547325103,86.99588477366255,80.23868312757202,8.555454602923101,1215
scope_hybrid_rrf_rerank_mq,SCOPE + Hybrid RRF + Rerank + MQ,99.91769547325103,86.74897119341564,79.85459533607681,1085.1711578455745,1215
scope_hybrid_rrf_rerank,SCOPE + Hybrid RRF + Rerank,99.91769547325103,86.58436213991769,79.73113854595336,155.70895248209652,1215
dense_only_jiwar,Dense + Jiwar,99.91769547325103,83.9506172839506,79.57475994513031,7.4580784097923996,1215
hybrid_rrf_no_terms,Hybrid RRF (no term expansion),99.75308641975309,85.4320987654321,79.519890260631,27.5388765812223,1215
hybrid_rrf,Hybrid RRF,99.75308641975309,85.26748971193415,79.27297668038409,28.3212273707786,1215
scope_hybrid_rrf_rerank_mq_pageagg_jiwar,SCOPE + Hybrid RRF + Rerank + MQ + PageAgg + Jiwar,99.75308641975309,81.64609053497942,77.62688614540465,1083.9894462709644,1215
scope_hybrid_rrf_rerank_pageagg_jiwar,SCOPE + Hybrid RRF + Rerank + PageAgg + Jiwar,99.75308641975309,80.41152263374485,77.42112482853223,154.4766909594426,1215
dense_bm25_concat,Dense + BM25 (concat),100.0,84.11522633744856,77.09739368998628,28.128461673156398,1215
dense_only,Dense,100.0,84.11522633744856,77.09739368998628,8.5326945547517,1215
dense_only_mq,Dense + MQ,100.0,84.11522633744856,77.09739368998628,924.1203332076028,1215
bm25_only_jiwar,BM25 + Jiwar,99.83539094650206,76.37860082304528,71.6166960611405,25.0204865127004,1215
scope_bm25_only,SCOPE + BM25,99.67078189300412,75.7201646090535,69.71193415637859,26.974957496111703,1215
bm25_only,BM25,99.83539094650206,74.81481481481481,69.05349794238683,26.1995078957497,1215
bm25_only_mq,BM25 + MQ,99.83539094650206,74.81481481481481,69.05349794238683,948.9341888070843,1215
hybrid_rrf_mq,Hybrid RRF + MQ,99.67078189300412,77.6954732510288,68.62825788751715,956.6339675131576,1215
bm25_rerank,BM25 + Rerank,99.75308641975309,75.88477366255144,68.06310013717422,153.014075041084,1215
hybrid_rrf_rerank_jiwar,Hybrid RRF + Rerank + Jiwar,99.91769547325103,70.61728395061728,64.73251028806585,153.8335674501952,1215
hybrid_rrf_rerank,Hybrid RRF + Rerank,99.91769547325103,72.09876543209876,64.08504801097394,154.8218134463167,1215
dense_rerank,Dense + Rerank,99.91769547325103,69.79423868312757,61.83539094650206,135.0399217214018,1215
hybrid_rrf_rerank_mq_jiwar,Hybrid RRF + Rerank + MQ + Jiwar,99.83539094650206,65.51440329218107,60.32921810699589,1082.297027895525,1215
hybrid_rrf_rerank_mq,Hybrid RRF + Rerank + MQ,99.91769547325103,65.76131687242798,58.172839506172835,1082.948365398532,1215
hybrid_rrf_rerank_pageagg_jiwar,Hybrid RRF + Rerank + PageAgg + Jiwar,99.75308641975309,61.15226337448559,58.010973936899866,153.3898725479255,1215
hybrid_rrf_rerank_pageagg,Hybrid RRF + Rerank + PageAgg,99.83539094650206,60.57613168724279,56.49931412894376,153.1950882787594,1215
hybrid_rrf_rerank_mq_pageagg,Hybrid RRF + Rerank + MQ + PageAgg,99.83539094650206,54.81481481481482,51.49245541838135,1081.27509814493,1215
