strategy,chapter,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,items
bm25_only,central_disorders_of_hypersomnolence,0.4946524064171123,0.5561497326203209,0.6229946524064172,0.6684491978609626,0.6737967914438503,0.7058823529411765,0.732620320855615,0.7593582887700535,0.5792971734148205,0.4946524064171123,0.5561497326203209,0.6229946524064172,0.6684491978609626,0.6737967914438503,0.7058823529411765,0.732620320855615,0.7593582887700535,0.5792971734148205,0.6737967914438503,187
bm25_only,circadian_rhythm_sleep_wake_disorders,0.5583333333333333,0.6166666666666667,0.7166666666666667,0.7833333333333333,0.7958333333333333,0.8583333333333333,0.85,0.9,0.6652976190476191,0.5583333333333333,0.6166666666666667,0.7166666666666667,0.7833333333333333,0.7958333333333333,0.8583333333333333,0.85,0.9,0.6652976190476191,0.7958333333333333,120
bm25_only,classification_coding,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.39166666666666666,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.39166666666666666,0.5,10
bm25_only,insomnia_disorders,0.4411764705882353,0.5294117647058824,0.5882352941176471,0.6274509803921569,0.6127450980392157,0.6862745098039216,0.6715686274509803,0.7450980392156863,0.5240429505135387,0.4411764705882353,0.5294117647058824,0.5882352941176471,0.6274509803921569,0.6127450980392157,0.6862745098039216,0.6715686274509803,0.7450980392156863,0.5240429505135387,0.6127450980392157,102
bm25_only,introduction,0.35,0.4,0.35,0.4,0.55,0.6,0.6,0.6,0.45,0.35,0.4,0.35,0.4,0.55,0.6,0.6,0.6,0.45,0.55,10
bm25_only,other_sleep_disorders,0.7,0.9,0.95,1.0,0.95,1.0,1.0,1.0,0.8166666666666667,0.7,0.9,0.95,1.0,0.95,1.0,1.0,1.0,0.8166666666666667,0.95,10
bm25_only,parasomnias,0.505586592178771,0.5921787709497207,0.6480446927374302,0.7150837988826816,0.6843575418994413,0.7541899441340782,0.7262569832402235,0.7932960893854749,0.5864658153764299,0.505586592178771,0.5921787709497207,0.6480446927374302,0.7150837988826816,0.6843575418994413,0.7541899441340782,0.7262569832402235,0.7932960893854749,0.5864658153764299,0.6843575418994413,179
bm25_only,sleep_related_breathing_disorders,0.3958333333333333,0.453804347826087,0.5634057971014493,0.625,0.6648550724637681,0.7255434782608695,0.7246376811594203,0.779891304347826,0.5158546842650104,0.3958333333333333,0.453804347826087,0.5634057971014493,0.625,0.6648550724637681,0.7255434782608695,0.7246376811594203,0.779891304347826,0.5158546842650104,0.6648550724637681,368
bm25_only,sleep_related_medical_neurological_disorders,0.68,0.8,0.78,0.84,0.84,0.86,0.9,0.9,0.7516904761904761,0.68,0.8,0.78,0.84,0.84,0.86,0.9,0.9,0.7516904761904761,0.84,50
bm25_only,sleep_related_movement_disorders,0.43202979515828677,0.49162011173184356,0.5968342644320298,0.6703910614525139,0.7029795158286778,0.770949720670391,0.7616387337057728,0.8379888268156425,0.5530327214684757,0.43202979515828677,0.49162011173184356,0.5968342644320298,0.6703910614525139,0.7029795158286778,0.770949720670391,0.7616387337057728,0.8379888268156425,0.5530327214684757,0.7029795158286778,179
bm25_only_jiwar,central_disorders_of_hypersomnolence,0.5508021390374331,0.5614973262032086,0.6711229946524064,0.6898395721925134,0.6871657754010695,0.7058823529411765,0.6871657754010695,0.7058823529411765,0.607397504456328,0.5508021390374331,0.5614973262032086,0.6711229946524064,0.6898395721925134,0.6871657754010695,0.7058823529411765,0.6871657754010695,0.7058823529411765,0.607397504456328,0.6737967914438503,187
bm25_only_jiwar,circadian_rhythm_sleep_wake_disorders,0.6,0.6166666666666667,0.8,0.8333333333333334,0.825,0.8583333333333333,0.825,0.8583333333333333,0.6993055555555556,0.6,0.6166666666666667,0.8,0.8333333333333334,0.825,0.8583333333333333,0.825,0.8583333333333333,0.6993055555555556,0.7958333333333333,120
bm25_only_jiwar,classification_coding,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.3833333333333333,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.3833333333333333,0.5,10
bm25_only_jiwar,insomnia_disorders,0.5245098039215687,0.5392156862745098,0.6176470588235294,0.6862745098039216,0.6372549019607843,0.7156862745098039,0.6372549019607843,0.7156862745098039,0.5795751633986929,0.5245098039215687,0.5392156862745098,0.6176470588235294,0.6862745098039216,0.6372549019607843,0.7156862745098039,0.6372549019607843,0.7156862745098039,0.5795751633986929,0.6127450980392157,102
bm25_only_jiwar,introduction,0.35,0.4,0.55,0.6,0.55,0.6,0.55,0.6,0.4833333333333333,0.35,0.4,0.55,0.6,0.55,0.6,0.55,0.6,0.4833333333333333,0.55,10
bm25_only_jiwar,other_sleep_disorders,0.8,0.9,0.95,1.0,0.95,1.0,0.95,1.0,0.8833333333333334,0.8,0.9,0.95,1.0,0.95,1.0,0.95,1.0,0.8833333333333334,0.95,10
bm25_only_jiwar,parasomnias,0.5642458100558659,0.6033519553072626,0.6787709497206704,0.7262569832402235,0.7039106145251397,0.7597765363128491,0.7039106145251397,0.7597765363128491,0.6254189944134079,0.5642458100558659,0.6033519553072626,0.6787709497206704,0.7262569832402235,0.7039106145251397,0.7597765363128491,0.7039106145251397,0.7597765363128491,0.6254189944134079,0.6843575418994413,179
bm25_only_jiwar,sleep_related_breathing_disorders,0.4320652173913043,0.46467391304347827,0.635351966873706,0.6956521739130435,0.6924171842650103,0.7445652173913043,0.6924171842650103,0.7445652173913043,0.5471014492753623,0.4320652173913043,0.46467391304347827,0.635351966873706,0.6956521739130435,0.6924171842650103,0.7445652173913043,0.6924171842650103,0.7445652173913043,0.5471014492753623,0.6648550724637681,368
bm25_only_jiwar,sleep_related_medical_neurological_disorders,0.76,0.82,0.84,0.86,0.86,0.88,0.86,0.88,0.8016666666666667,0.76,0.82,0.84,0.86,0.86,0.88,0.86,0.88,0.8016666666666667,0.84,50
bm25_only_jiwar,sleep_related_movement_disorders,0.46554934823091243,0.5083798882681564,0.6694599627560521,0.7318435754189944,0.7476722532588455,0.8100558659217877,0.7476722532588455,0.8100558659217877,0.5811918063314712,0.46554934823091243,0.5083798882681564,0.6694599627560521,0.7318435754189944,0.7476722532588455,0.8100558659217877,0.7476722532588455,0.8100558659217877,0.5811918063314712,0.7029795158286778,179
bm25_only_mq,central_disorders_of_hypersomnolence,0.4946524064171123,0.5561497326203209,0.6229946524064172,0.6684491978609626,0.6737967914438503,0.7058823529411765,0.732620320855615,0.7593582887700535,0.5792971734148205,0.4946524064171123,0.5561497326203209,0.6229946524064172,0.6684491978609626,0.6737967914438503,0.7058823529411765,0.732620320855615,0.7593582887700535,0.5792971734148205,0.6737967914438503,187
bm25_only_mq,circadian_rhythm_sleep_wake_disorders,0.5583333333333333,0.6166666666666667,0.7166666666666667,0.7833333333333333,0.7958333333333333,0.8583333333333333,0.85,0.9,0.6652976190476191,0.5583333333333333,0.6166666666666667,0.7166666666666667,0.7833333333333333,0.7958333333333333,0.8583333333333333,0.85,0.9,0.6652976190476191,0.7958333333333333,120
bm25_only_mq,classification_coding,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.39166666666666666,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.39166666666666666,0.5,10
bm25_only_mq,insomnia_disorders,0.4411764705882353,0.5294117647058824,0.5882352941176471,0.6274509803921569,0.6127450980392157,0.6862745098039216,0.6715686274509803,0.7450980392156863,0.5240429505135387,0.4411764705882353,0.5294117647058824,0.5882352941176471,0.6274509803921569,0.6127450980392157,0.6862745098039216,0.6715686274509803,0.7450980392156863,0.5240429505135387,0.6127450980392157,102
bm25_only_mq,introduction,0.35,0.4,0.35,0.4,0.55,0.6,0.6,0.6,0.45,0.35,0.4,0.35,0.4,0.55,0.6,0.6,0.6,0.45,0.55,10
bm25_only_mq,other_sleep_disorders,0.7,0.9,0.95,1.0,0.95,1.0,1.0,1.0,0.8166666666666667,0.7,0.9,0.95,1.0,0.95,1.0,1.0,1.0,0.8166666666666667,0.95,10
bm25_only_mq,parasomnias,0.505586592178771,0.5921787709497207,0.6480446927374302,0.7150837988826816,0.6843575418994413,0.7541899441340782,0.7262569832402235,0.7932960893854749,0.5864658153764299,0.505586592178771,0.5921787709497207,0.6480446927374302,0.7150837988826816,0.6843575418994413,0.7541899441340782,0.7262569832402235,0.7932960893854749,0.5864658153764299,0.6843575418994413,179
bm25_only_mq,sleep_related_breathing_disorders,0.3958333333333333,0.453804347826087,0.5634057971014493,0.625,0.6648550724637681,0.7255434782608695,0.7246376811594203,0.779891304347826,0.5158546842650104,0.3958333333333333,0.453804347826087,0.5634057971014493,0.625,0.6648550724637681,0.7255434782608695,0.7246376811594203,0.779891304347826,0.5158546842650104,0.6648550724637681,368
bm25_only_mq,sleep_related_medical_neurological_disorders,0.68,0.8,0.78,0.84,0.84,0.86,0.9,0.9,0.7516904761904761,0.68,0.8,0.78,0.84,0.84,0.86,0.9,0.9,0.7516904761904761,0.84,50
bm25_only_mq,sleep_related_movement_disorders,0.43202979515828677,0.49162011173184356,0.5968342644320298,0.6703910614525139,0.7029795158286778,0.770949720670391,0.7616387337057728,0.8379888268156425,0.5530327214684757,0.43202979515828677,0.49162011173184356,0.5968342644320298,0.6703910614525139,0.7029795158286778,0.770949720670391,0.7616387337057728,0.8379888268156425,0.5530327214684757,0.7029795158286778,179
bm25_rerank,central_disorders_of_hypersomnolence,0.45080213903743316,0.48128342245989303,0.5871657754010695,0.6417112299465241,0.667379679144385,0.7219251336898396,0.723529411764706,0.7807486631016043,0.5388591800356506,0.45080213903743316,0.48128342245989303,0.5871657754010695,0.6417112299465241,0.667379679144385,0.7219251336898396,0.723529411764706,0.7807486631016043,0.5388591800356506,0.667379679144385,187
bm25_rerank,circadian_rhythm_sleep_wake_disorders,0.45416666666666666,0.525,0.6416666666666667,0.7416666666666667,0.725,0.7916666666666666,0.8208333333333333,0.9083333333333333,0.5781746031746031,0.45416666666666666,0.525,0.6416666666666667,0.7416666666666667,0.725,0.7916666666666666,0.8208333333333333,0.9083333333333333,0.5781746031746031,0.725,120
bm25_rerank,classification_coding,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.37,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.37,0.5,10
bm25_rerank,insomnia_disorders,0.20588235294117646,0.29411764705882354,0.46078431372549017,0.5588235294117647,0.5931372549019608,0.6862745098039216,0.7401960784313726,0.8529411764705882,0.3668767507002801,0.20588235294117646,0.29411764705882354,0.46078431372549017,0.5588235294117647,0.5931372549019608,0.6862745098039216,0.7401960784313726,0.8529411764705882,0.3668767507002801,0.5931372549019608,102
bm25_rerank,introduction,0.05,0.1,0.1,0.2,0.1,0.2,0.15,0.2,0.13333333333333333,0.05,0.1,0.1,0.2,0.1,0.2,0.15,0.2,0.13333333333333333,0.1,10
bm25_rerank,other_sleep_disorders,0.3,0.7,0.4,0.8,0.85,0.9,1.0,1.0,0.4708333333333333,0.3,0.7,0.4,0.8,0.85,0.9,1.0,1.0,0.4708333333333333,0.85,10
bm25_rerank,parasomnias,0.40782122905027934,0.43575418994413406,0.5949720670391061,0.6536312849162011,0.659217877094972,0.7206703910614525,0.7486033519553073,0.7988826815642458,0.5221534982708167,0.40782122905027934,0.43575418994413406,0.5949720670391061,0.6536312849162011,0.659217877094972,0.7206703910614525,0.7486033519553073,0.7988826815642458,0.5221534982708167,0.659217877094972,179
bm25_rerank,sleep_related_breathing_disorders,0.452445652173913,0.5353260869565217,0.6154891304347826,0.7065217391304348,0.7115036231884058,0.8043478260869565,0.7427536231884058,0.842391304347826,0.568555900621118,0.452445652173913,0.5353260869565217,0.6154891304347826,0.7065217391304348,0.7115036231884058,0.8043478260869565,0.7427536231884058,0.842391304347826,0.568555900621118,0.7115036231884058,368
bm25_rerank,sleep_related_medical_neurological_disorders,0.38,0.46,0.54,0.7,0.64,0.74,0.82,0.84,0.4949285714285714,0.38,0.46,0.54,0.7,0.64,0.74,0.82,0.84,0.4949285714285714,0.64,50
bm25_rerank,sleep_related_movement_disorders,0.4068901303538175,0.46368715083798884,0.62756052141527,0.6983240223463687,0.7169459962756053,0.8044692737430168,0.797951582867784,0.8770949720670391,0.5467278531524341,0.4068901303538175,0.46368715083798884,0.62756052141527,0.6983240223463687,0.7169459962756053,0.8044692737430168,0.797951582867784,0.8770949720670391,0.5467278531524341,0.7169459962756053,179
dense_bm25_concat,central_disorders_of_hypersomnolence,0.4459893048128343,0.5187165775401069,0.6598930481283423,0.7379679144385026,0.7320855614973263,0.7914438502673797,0.7802139037433156,0.839572192513369,0.5689712248535778,0.4459893048128343,0.5187165775401069,0.6598930481283423,0.7379679144385026,0.7320855614973263,0.7914438502673797,0.7802139037433156,0.839572192513369,0.5689712248535778,0.7320855614973263,187
dense_bm25_concat,circadian_rhythm_sleep_wake_disorders,0.49583333333333335,0.6083333333333333,0.7833333333333333,0.8666666666666667,0.85,0.9083333333333333,0.8916666666666667,0.9583333333333334,0.6480059523809524,0.49583333333333335,0.6083333333333333,0.7833333333333333,0.8666666666666667,0.85,0.9083333333333333,0.8916666666666667,0.9583333333333334,0.6480059523809524,0.85,120
dense_bm25_concat,classification_coding,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,10
dense_bm25_concat,insomnia_disorders,0.3235294117647059,0.38235294117647056,0.5294117647058824,0.6078431372549019,0.6078431372549019,0.696078431372549,0.7254901960784313,0.8235294117647058,0.4564192343604108,0.3235294117647059,0.38235294117647056,0.5294117647058824,0.6078431372549019,0.6078431372549019,0.696078431372549,0.7254901960784313,0.8235294117647058,0.4564192343604108,0.6078431372549019,102
dense_bm25_concat,introduction,0.15,0.3,0.45,0.6,0.65,0.8,0.75,0.8,0.36666666666666664,0.15,0.3,0.45,0.6,0.65,0.8,0.75,0.8,0.36666666666666664,0.65,10
dense_bm25_concat,other_sleep_disorders,0.7,0.7,0.85,1.0,0.85,1.0,1.0,1.0,0.7958333333333333,0.7,0.7,0.85,1.0,0.85,1.0,1.0,1.0,0.7958333333333333,0.85,10
dense_bm25_concat,parasomnias,0.5195530726256983,0.5977653631284916,0.6983240223463687,0.7653631284916201,0.8305400372439478,0.8659217877094972,0.855679702048417,0.8994413407821229,0.6360002660281989,0.5195530726256983,0.5977653631284916,0.6983240223463687,0.7653631284916201,0.8305400372439478,0.8659217877094972,0.855679702048417,0.8994413407821229,0.6360002660281989,0.8305400372439478,179
dense_bm25_concat,sleep_related_breathing_disorders,0.4067028985507246,0.4891304347826087,0.6490036231884059,0.7309782608695652,0.7576992753623187,0.842391304347826,0.823822463768116,0.904891304347826,0.5668413561076605,0.4067028985507246,0.4891304347826087,0.6490036231884059,0.7309782608695652,0.7576992753623187,0.842391304347826,0.823822463768116,0.904891304347826,0.5668413561076605,0.7576992753623187,368
dense_bm25_concat,sleep_related_medical_neurological_disorders,0.66,0.72,0.88,0.92,0.92,0.98,0.92,0.98,0.7623333333333333,0.66,0.72,0.88,0.92,0.92,0.98,0.92,0.98,0.7623333333333333,0.92,50
dense_bm25_concat,sleep_related_movement_disorders,0.4515828677839851,0.5251396648044693,0.675046554934823,0.770949720670391,0.7672253258845438,0.8491620111731844,0.8286778398510243,0.9162011173184358,0.5951250332535248,0.4515828677839851,0.5251396648044693,0.675046554934823,0.770949720670391,0.7672253258845438,0.8491620111731844,0.8286778398510243,0.9162011173184358,0.5951250332535248,0.7672253258845438,179
dense_bm25_interleave,central_disorders_of_hypersomnolence,0.4459893048128343,0.5187165775401069,0.6919786096256685,0.7807486631016043,0.7935828877005348,0.8449197860962567,0.8310160427807487,0.8716577540106952,0.6017952635599695,0.4459893048128343,0.5187165775401069,0.6919786096256685,0.7807486631016043,0.7935828877005348,0.8449197860962567,0.8310160427807487,0.8716577540106952,0.6017952635599695,0.7935828877005348,187
dense_bm25_interleave,circadian_rhythm_sleep_wake_disorders,0.49583333333333335,0.6083333333333333,0.85,0.9083333333333333,0.9291666666666667,0.9666666666666667,0.9458333333333333,0.9916666666666667,0.6967460317460318,0.49583333333333335,0.6083333333333333,0.85,0.9083333333333333,0.9291666666666667,0.9666666666666667,0.9458333333333333,0.9916666666666667,0.6967460317460318,0.9291666666666667,120
dense_bm25_interleave,classification_coding,0.7,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.825,0.7,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.825,1.0,10
dense_bm25_interleave,insomnia_disorders,0.3235294117647059,0.38235294117647056,0.6176470588235294,0.7058823529411765,0.7058823529411765,0.7745098039215687,0.7303921568627451,0.8137254901960784,0.4850840336134454,0.3235294117647059,0.38235294117647056,0.6176470588235294,0.7058823529411765,0.7058823529411765,0.7745098039215687,0.7303921568627451,0.8137254901960784,0.4850840336134454,0.7058823529411765,102
dense_bm25_interleave,introduction,0.15,0.3,0.5,0.5,0.65,0.7,0.85,0.9,0.42095238095238097,0.15,0.3,0.5,0.5,0.65,0.7,0.85,0.9,0.42095238095238097,0.65,10
