strategy,item_type,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,items
bm25_only,criteria_qa,0.1873156342182891,0.2831858407079646,0.3613569321533924,0.45132743362831856,0.4410029498525074,0.5309734513274337,0.551622418879056,0.6548672566371682,0.3126106194690266,0.1873156342182891,0.2831858407079646,0.3613569321533924,0.45132743362831856,0.4410029498525074,0.5309734513274337,0.551622418879056,0.6548672566371682,0.3126106194690266,0.4410029498525074,113
bm25_only,free_text_qa,0.49,0.57,0.6375,0.71,0.72375,0.8,0.775,0.8425,0.5908422619047619,0.49,0.57,0.6375,0.71,0.72375,0.8,0.775,0.8425,0.5908422619047619,0.72375,400
bm25_only,mcq,0.49620132953466284,0.5541310541310541,0.6450617283950617,0.6923076923076923,0.7117758784425451,0.7535612535612536,0.7623456790123456,0.7991452991452992,0.5953381495048161,0.49620132953466284,0.5541310541310541,0.6450617283950617,0.6923076923076923,0.7117758784425451,0.7535612535612536,0.7623456790123456,0.7991452991452992,0.5953381495048161,0.7117758784425451,702
bm25_only_jiwar,criteria_qa,0.2625368731563422,0.2920353982300885,0.45554150863885373,0.5398230088495575,0.517488411293721,0.6017699115044248,0.517488411293721,0.6017699115044248,0.3828908554572271,0.2625368731563422,0.2920353982300885,0.45554150863885373,0.5398230088495575,0.517488411293721,0.6017699115044248,0.517488411293721,0.6017699115044248,0.3828908554572271,0.4410029498525074,113
bm25_only_jiwar,free_text_qa,0.53375,0.5725,0.7025,0.77,0.735,0.8,0.735,0.8,0.6195416666666667,0.53375,0.5725,0.7025,0.77,0.735,0.8,0.735,0.8,0.6195416666666667,0.72375,400
bm25_only_jiwar,mcq,0.5429724596391263,0.5683760683760684,0.6968186134852802,0.7279202279202279,0.7374169040835707,0.7692307692307693,0.7374169040835707,0.7692307692307693,0.6273979107312441,0.5429724596391263,0.5683760683760684,0.6968186134852802,0.7279202279202279,0.7374169040835707,0.7692307692307693,0.7374169040835707,0.7692307692307693,0.6273979107312441,0.7117758784425451,702
bm25_only_mq,criteria_qa,0.1873156342182891,0.2831858407079646,0.3613569321533924,0.45132743362831856,0.4410029498525074,0.5309734513274337,0.551622418879056,0.6548672566371682,0.3126106194690266,0.1873156342182891,0.2831858407079646,0.3613569321533924,0.45132743362831856,0.4410029498525074,0.5309734513274337,0.551622418879056,0.6548672566371682,0.3126106194690266,0.4410029498525074,113
bm25_only_mq,free_text_qa,0.49,0.57,0.6375,0.71,0.72375,0.8,0.775,0.8425,0.5908422619047619,0.49,0.57,0.6375,0.71,0.72375,0.8,0.775,0.8425,0.5908422619047619,0.72375,400
bm25_only_mq,mcq,0.49620132953466284,0.5541310541310541,0.6450617283950617,0.6923076923076923,0.7117758784425451,0.7535612535612536,0.7623456790123456,0.7991452991452992,0.5953381495048161,0.49620132953466284,0.5541310541310541,0.6450617283950617,0.6923076923076923,0.7117758784425451,0.7535612535612536,0.7623456790123456,0.7991452991452992,0.5953381495048161,0.7117758784425451,702
bm25_rerank,criteria_qa,0.49380530973451325,0.5752212389380531,0.6176991150442478,0.7256637168141593,0.6619469026548672,0.7787610619469026,0.6973451327433628,0.8141592920353983,0.5902760219131901,0.49380530973451325,0.5752212389380531,0.6176991150442478,0.7256637168141593,0.6619469026548672,0.7787610619469026,0.6973451327433628,0.8141592920353983,0.5902760219131901,0.6619469026548672,113
bm25_rerank,free_text_qa,0.41,0.48,0.5875,0.6825,0.67875,0.765,0.7525,0.83,0.5264672619047619,0.41,0.48,0.5875,0.6825,0.67875,0.765,0.7525,0.83,0.5264672619047619,0.67875,400
bm25_rerank,mcq,0.39577397910731243,0.4544159544159544,0.5845204178537512,0.6595441595441596,0.6847103513770181,0.7521367521367521,0.7666191832858499,0.8376068376068376,0.5204093745760413,0.39577397910731243,0.4544159544159544,0.5845204178537512,0.6595441595441596,0.6847103513770181,0.7521367521367521,0.7666191832858499,0.8376068376068376,0.5204093745760413,0.6847103513770181,702
dense_bm25_concat,criteria_qa,0.496165191740413,0.584070796460177,0.7115044247787611,0.8230088495575221,0.7882005899705015,0.911504424778761,0.8412979351032448,0.9646017699115044,0.6459123472397809,0.496165191740413,0.584070796460177,0.7115044247787611,0.8230088495575221,0.7882005899705015,0.911504424778761,0.8412979351032448,0.9646017699115044,0.6459123472397809,0.7882005899705015,113
dense_bm25_concat,free_text_qa,0.42125,0.49,0.6725,0.7525,0.77375,0.8425,0.8225,0.885,0.5704940476190477,0.42125,0.49,0.6725,0.7525,0.77375,0.8425,0.8225,0.885,0.5704940476190477,0.77375,400
dense_bm25_concat,mcq,0.4605887939221272,0.5455840455840456,0.6747388414055081,0.7492877492877493,0.7666191832858499,0.8290598290598291,0.8276353276353277,0.8945868945868946,0.5934065934065934,0.4605887939221272,0.5455840455840456,0.6747388414055081,0.7492877492877493,0.7666191832858499,0.8290598290598291,0.8276353276353277,0.8945868945868946,0.5934065934065934,0.7666191832858499,702
dense_bm25_interleave,criteria_qa,0.496165191740413,0.584070796460177,0.7100294985250738,0.7964601769911505,0.7734513274336283,0.8672566371681416,0.8353982300884957,0.9292035398230089,0.6322587442056469,0.496165191740413,0.584070796460177,0.7100294985250738,0.7964601769911505,0.7734513274336283,0.8672566371681416,0.8353982300884957,0.9292035398230089,0.6322587442056469,0.7734513274336283,113
dense_bm25_interleave,free_text_qa,0.42125,0.49,0.73125,0.7975,0.81875,0.8825,0.8625,0.9275,0.5974702380952381,0.42125,0.49,0.73125,0.7975,0.81875,0.8825,0.8625,0.9275,0.5974702380952381,0.81875,400
dense_bm25_interleave,mcq,0.4605887939221272,0.5455840455840456,0.7241215574548907,0.7934472934472935,0.8072174738841404,0.8504273504273504,0.8649097815764482,0.9031339031339032,0.6199362366029033,0.4605887939221272,0.5455840455840456,0.7241215574548907,0.7934472934472935,0.8072174738841404,0.8504273504273504,0.8649097815764482,0.9031339031339032,0.6199362366029033,0.8072174738841404,702
dense_only,criteria_qa,0.496165191740413,0.584070796460177,0.7115044247787611,0.8230088495575221,0.7882005899705015,0.911504424778761,0.8412979351032448,0.9646017699115044,0.6459123472397809,0.496165191740413,0.584070796460177,0.7115044247787611,0.8230088495575221,0.7882005899705015,0.911504424778761,0.8412979351032448,0.9646017699115044,0.6459123472397809,0.7882005899705015,113
dense_only,free_text_qa,0.42125,0.49,0.6725,0.7525,0.77375,0.8425,0.8225,0.885,0.5704940476190477,0.42125,0.49,0.6725,0.7525,0.77375,0.8425,0.8225,0.885,0.5704940476190477,0.77375,400
dense_only,mcq,0.4605887939221272,0.5455840455840456,0.6747388414055081,0.7492877492877493,0.7666191832858499,0.8290598290598291,0.8276353276353277,0.8945868945868946,0.5934065934065934,0.4605887939221272,0.5455840455840456,0.6747388414055081,0.7492877492877493,0.7666191832858499,0.8290598290598291,0.8276353276353277,0.8945868945868946,0.5934065934065934,0.7666191832858499,702
dense_only_jiwar,criteria_qa,0.5781710914454277,0.5929203539823009,0.8023598820058997,0.8495575221238938,0.8525073746312684,0.9026548672566371,0.8525073746312684,0.9026548672566371,0.7125368731563422,0.5781710914454277,0.5929203539823009,0.8023598820058997,0.8495575221238938,0.8525073746312684,0.9026548672566371,0.8525073746312684,0.9026548672566371,0.7125368731563422,0.7882005899705015,113
dense_only_jiwar,free_text_qa,0.475,0.5,0.71625,0.7725,0.78625,0.8425,0.79,0.845,0.6067083333333333,0.475,0.5,0.71625,0.7725,0.78625,0.8425,0.79,0.845,0.6067083333333333,0.77375,400
dense_only_jiwar,mcq,0.5223171889838557,0.5612535612535613,0.7478632478632479,0.782051282051282,0.792022792022792,0.8276353276353277,0.7977207977207977,0.8333333333333334,0.6403981820648487,0.5223171889838557,0.5612535612535613,0.7478632478632479,0.782051282051282,0.792022792022792,0.8276353276353277,0.7977207977207977,0.8333333333333334,0.6403981820648487,0.7666191832858499,702
dense_only_mq,criteria_qa,0.496165191740413,0.584070796460177,0.7115044247787611,0.8230088495575221,0.7882005899705015,0.911504424778761,0.8412979351032448,0.9646017699115044,0.6459123472397809,0.496165191740413,0.584070796460177,0.7115044247787611,0.8230088495575221,0.7882005899705015,0.911504424778761,0.8412979351032448,0.9646017699115044,0.6459123472397809,0.7882005899705015,113
dense_only_mq,free_text_qa,0.42125,0.49,0.6725,0.7525,0.77375,0.8425,0.8225,0.885,0.5704940476190477,0.42125,0.49,0.6725,0.7525,0.77375,0.8425,0.8225,0.885,0.5704940476190477,0.77375,400
dense_only_mq,mcq,0.4605887939221272,0.5455840455840456,0.6747388414055081,0.7492877492877493,0.7666191832858499,0.8290598290598291,0.8276353276353277,0.8945868945868946,0.5934065934065934,0.4605887939221272,0.5455840455840456,0.6747388414055081,0.7492877492877493,0.7666191832858499,0.8290598290598291,0.8276353276353277,0.8945868945868946,0.5934065934065934,0.7666191832858499,702
dense_raw,criteria_qa,0.5109144542772861,0.6017699115044248,0.7439528023598819,0.8584070796460177,0.7985250737463127,0.9292035398230089,0.8516224188790561,0.9734513274336283,0.663685208596713,0.5109144542772861,0.6017699115044248,0.7439528023598819,0.8584070796460177,0.7985250737463127,0.9292035398230089,0.8516224188790561,0.9734513274336283,0.663685208596713,0.7985250737463127,113
dense_raw,free_text_qa,0.50625,0.595,0.725,0.8,0.80625,0.8725,0.86,0.915,0.6425863095238096,0.50625,0.595,0.725,0.8,0.80625,0.8725,0.86,0.915,0.6425863095238096,0.80625,400
dense_raw,mcq,0.5118708452041785,0.6011396011396012,0.7374169040835707,0.8133903133903134,0.8193257359924027,0.8874643874643875,0.8663342830009496,0.9202279202279202,0.6479717813051146,0.5118708452041785,0.6011396011396012,0.7374169040835707,0.8133903133903134,0.8193257359924027,0.8874643874643875,0.8663342830009496,0.9202279202279202,0.6479717813051146,0.8193257359924027,702
dense_rerank,criteria_qa,0.5070796460176991,0.6017699115044248,0.6855457227138643,0.7964601769911505,0.7607669616519174,0.8672566371681416,0.8309734513274337,0.9380530973451328,0.6491466498103666,0.5070796460176991,0.6017699115044248,0.6855457227138643,0.7964601769911505,0.7607669616519174,0.8672566371681416,0.8309734513274337,0.9380530973451328,0.6491466498103666,0.7607669616519174,113
dense_rerank,free_text_qa,0.3575,0.4275,0.53875,0.615,0.62625,0.695,0.71625,0.8,0.4760267857142857,0.3575,0.4275,0.53875,0.615,0.62625,0.695,0.71625,0.8,0.4760267857142857,0.62625,400
dense_rerank,mcq,0.36158594491927826,0.40883190883190884,0.4997625830959164,0.5726495726495726,0.5909306742640076,0.6723646723646723,0.7003798670465338,0.7763532763532763,0.465350698684032,0.36158594491927826,0.40883190883190884,0.4997625830959164,0.5726495726495726,0.5909306742640076,0.6723646723646723,0.7003798670465338,0.7763532763532763,0.465350698684032,0.5909306742640076,702
hybrid_rrf,criteria_qa,0.3480825958702065,0.4336283185840708,0.5825958702064896,0.6814159292035398,0.6445427728613569,0.7876106194690266,0.7442477876106194,0.8672566371681416,0.512126000842815,0.3480825958702065,0.4336283185840708,0.5825958702064896,0.6814159292035398,0.6445427728613569,0.7876106194690266,0.7442477876106194,0.8672566371681416,0.512126000842815,0.6445427728613569,113
hybrid_rrf,free_text_qa,0.55375,0.64,0.7575,0.825,0.8075,0.8725,0.84875,0.905,0.670514880952381,0.55375,0.64,0.7575,0.825,0.8075,0.8725,0.84875,0.905,0.670514880952381,0.8075,400
hybrid_rrf,mcq,0.5695631528964862,0.6396011396011396,0.7469135802469137,0.7891737891737892,0.8081671415004749,0.8518518518518519,0.852326685660019,0.896011396011396,0.6786528286528286,0.5695631528964862,0.6396011396011396,0.7469135802469137,0.7891737891737892,0.8081671415004749,0.8518518518518519,0.852326685660019,0.896011396011396,0.6786528286528286,0.8081671415004749,702
hybrid_rrf_jiwar,criteria_qa,0.41276864728192164,0.4690265486725664,0.6517067003792667,0.7610619469026548,0.6959544879898862,0.8230088495575221,0.7136536030341339,0.8407079646017699,0.5651917404129794,0.41276864728192164,0.4690265486725664,0.6517067003792667,0.7610619469026548,0.6959544879898862,0.8230088495575221,0.7136536030341339,0.8407079646017699,0.5651917404129794,0.6445427728613569,113
hybrid_rrf_jiwar,free_text_qa,0.60375,0.655,0.79625,0.8525,0.81875,0.875,0.81875,0.875,0.7013333333333334,0.60375,0.655,0.79625,0.8525,0.81875,0.875,0.81875,0.875,0.7013333333333334,0.8075,400
hybrid_rrf_jiwar,mcq,0.6341405508072175,0.6609686609686609,0.7901234567901234,0.8190883190883191,0.8228869895536561,0.8561253561253561,0.8271604938271604,0.8603988603988604,0.7195156695156696,0.6341405508072175,0.6609686609686609,0.7901234567901234,0.8190883190883191,0.8228869895536561,0.8561253561253561,0.8271604938271604,0.8603988603988604,0.7195156695156696,0.8081671415004749,702
hybrid_rrf_mq,criteria_qa,0.336283185840708,0.40707964601769914,0.4663716814159292,0.5752212389380531,0.5619469026548672,0.6902654867256637,0.6973451327433628,0.8230088495575221,0.4514433206911083,0.336283185840708,0.40707964601769914,0.4663716814159292,0.5752212389380531,0.5619469026548672,0.6902654867256637,0.6973451327433628,0.8230088495575221,0.4514433206911083,0.5619469026548672,113
hybrid_rrf_mq,free_text_qa,0.38125,0.49,0.60875,0.715,0.69375,0.795,0.78,0.86,0.5191636904761905,0.38125,0.49,0.60875,0.715,0.69375,0.795,0.78,0.86,0.5191636904761905,0.69375,400
hybrid_rrf_mq,mcq,0.39719848053181384,0.4985754985754986,0.6137226970560303,0.7051282051282052,0.7020417853751186,0.7806267806267806,0.7917853751187085,0.8675213675213675,0.5347849681183015,0.39719848053181384,0.4985754985754986,0.6137226970560303,0.7051282051282052,0.7020417853751186,0.7806267806267806,0.7917853751187085,0.8675213675213675,0.5347849681183015,0.7020417853751186,702
hybrid_rrf_no_terms,criteria_qa,0.3480825958702065,0.4424778761061947,0.5914454277286135,0.6902654867256637,0.635693215339233,0.7699115044247787,0.7442477876106194,0.8672566371681416,0.5136009270965023,0.3480825958702065,0.4424778761061947,0.5914454277286135,0.6902654867256637,0.635693215339233,0.7699115044247787,0.7442477876106194,0.8672566371681416,0.5136009270965023,0.635693215339233,113
hybrid_rrf_no_terms,free_text_qa,0.56,0.64,0.7575,0.825,0.81,0.875,0.85875,0.9125,0.6770029761904762,0.56,0.64,0.7575,0.825,0.81,0.875,0.85875,0.9125,0.6770029761904762,0.81,400
hybrid_rrf_no_terms,mcq,0.5738366571699904,0.6424501424501424,0.7533238366571701,0.792022792022792,0.8124406457739791,0.8561253561253561,0.857312440645774,0.8974358974358975,0.6840235381902048,0.5738366571699904,0.6424501424501424,0.7533238366571701,0.792022792022792,0.8124406457739791,0.8561253561253561,0.857312440645774,0.8974358974358975,0.6840235381902048,0.8124406457739791,702
hybrid_rrf_rerank,criteria_qa,0.515929203539823,0.6106194690265486,0.6943952802359882,0.8053097345132744,0.7696165191740413,0.8849557522123894,0.8309734513274337,0.9557522123893806,0.6574694479561736,0.515929203539823,0.6106194690265486,0.6943952802359882,0.8053097345132744,0.7696165191740413,0.8849557522123894,0.8309734513274337,0.9557522123893806,0.6574694479561736,0.7696165191740413,113
hybrid_rrf_rerank,free_text_qa,0.3675,0.44,0.55125,0.6175,0.64625,0.715,0.74375,0.825,0.48944940476190474,0.3675,0.44,0.55125,0.6175,0.64625,0.715,0.74375,0.825,0.48944940476190474,0.64625,400
hybrid_rrf_rerank,mcq,0.36087369420702753,0.40883190883190884,0.5275403608736942,0.6011396011396012,0.6170465337132004,0.698005698005698,0.7210351377018044,0.7962962962962963,0.4774233482566816,0.36087369420702753,0.40883190883190884,0.5275403608736942,0.6011396011396012,0.6170465337132004,0.698005698005698,0.7210351377018044,0.7962962962962963,0.4774233482566816,0.6170465337132004,702
hybrid_rrf_rerank_jiwar,criteria_qa,0.5929203539823009,0.6106194690265486,0.7861356932153392,0.8407079646017699,0.803834808259587,0.8584070796460177,0.803834808259587,0.8584070796460177,0.7050147492625369,0.5929203539823009,0.6106194690265486,0.7861356932153392,0.8407079646017699,0.803834808259587,0.8584070796460177,0.803834808259587,0.8584070796460177,0.7050147492625369,0.7696165191740413,113
