Component,Difference (pp),Lower 95%,Upper 95%
Abbreviation expansion,-4.21124828532236,-5.6785917092561045,-2.8197493371462463
Add BM25 with balanced merge,3.6899862825788756,1.5544599624195996,5.906835076590186
RRF versus interleave,-1.5144032921810702,-4.021739130434783,0.8723601241117
BM25 related-term expansion,-0.24691358024691357,-0.8957928601685632,0.3996882494004795
Reranking,-15.18792866941015,-18.658215827422453,-11.70546954663111
SCOPE,15.646090534979423,13.029250719408543,18.337578983543764
Jiwar,2.834019204389575,1.7336394936010866,3.9989597818869718
Multi-query,0.2880658436213992,-0.6302900221460425,1.1986377405776294
Page aggregation,-5.1440329218107,-7.396731140468389,-3.0017152658662094
