Family,Best Strategy,Doc@5 (%),Page@5 (%),EvRecall@5 (%),MRR (%),Est. cost (ms)
BM25,BM25 + Jiwar,99.83539094650206,76.37860082304528,71.6166960611405,60.20713305898491,25.0204865127004
Dense,Dense (original question),100.0,88.64197530864197,81.30864197530863,64.7660199882422,8.7909498969036
Hybrid RRF,Hybrid RRF + Jiwar,99.83539094650206,85.92592592592592,80.97197726827356,69.91769547325103,27.1639666754212
SCOPE,SCOPE + hybrid RRF + reranking + Jiwar + MQ,99.91769547325103,87.1604938271605,82.85322359396433,70.63923182441701,1083.9833112528745
