item_id,model_id,mode,NF4,BF16
clinical_astra_b01_011,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b01_012,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b01_012,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b01_012,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b01_012,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b01_012,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b01_012,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,1.0
clinical_astra_b01_012,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b01_013,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b01_013,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b01_014,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b01_014,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b01_014,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b01_014,google/gemma-3-27b-it,no_rag,1.0,0.0
clinical_astra_b01_014,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b01_014,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b01_014,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b01_015,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b01_015,google/gemma-3-12b-it,no_rag,1.0,0.0
clinical_astra_b01_015,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b01_015,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b01_015,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,1.0
clinical_astra_b01_015,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b01_016,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b01_016,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b01_016,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b01_016,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b01_016,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b01_016,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b01_016,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b01_017,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b01_017,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b01_017,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b01_017,google/gemma-3-27b-it,no_rag,1.0,1.0
